(3:1) KEYWORD    using
(3:7) KEYWORD    namespace
(3:17) IDENT      std
(3:20) SEMI       ;
(5:1) KEYWORD    int
(5:5) KEYWORD    main
(5:9) LPAREN     (
(5:10) RPAREN     )
(5:12) LBRACE     {
(6:5) KEYWORD    int
(6:9) IDENT      n
(6:10) COMMA      ,
(6:12) IDENT      x
(6:13) COMMA      ,
(6:15) IDENT      sum
(6:19) ASSIGN     =
(6:21) REAL       0.4
(6:24) SEMI       ;
(7:5) KEYWORD    cout
(7:10) OP_SHL     <<
(7:13) STRING     "Numar de elemente: "
(7:34) SEMI       ;
(8:5) KEYWORD    cin
(8:9) OP_SHR     >>
(8:12) IDENT      n
(8:13) SEMI       ;
(9:5) KEYWORD    cout
(9:10) OP_SHL     <<
(9:13) STRING     "Elemente: "
(9:25) SEMI       ;
(10:5) KEYWORD    int
(10:9) IDENT      i
(10:11) ASSIGN     =
(10:13) INT        0
(10:14) SEMI       ;
(11:5) KEYWORD    while
(11:11) LPAREN     (
(11:12) IDENT      i
(11:14) OP_CMP     <
(11:16) IDENT      n
(11:17) RPAREN     )
(11:19) LBRACE     {
(12:9) KEYWORD    cin
(12:13) OP_SHR     >>
(12:16) IDENT      x
(12:17) SEMI       ;
(13:9) IDENT      sum
(13:12) ASSIGN     =
(13:13) IDENT      sum
(13:16) OP         +
(13:17) IDENT      x
(13:18) SEMI       ;
(14:9) IDENT      i
(14:10) OP         +
(14:11) OP         +
(14:12) SEMI       ;
(15:5) RBRACE     }
(16:5) KEYWORD    cout
(16:10) OP_SHL     <<
(16:13) STRING     "Suma: "
(16:22) OP_SHL     <<
(16:25) IDENT      sum
(16:29) OP_SHL     <<
(16:32) STRING     "\n"
(16:36) SEMI       ;
(17:1) RBRACE     }
