Symbol,Signification
ID,identifier
CONST,constant
main,keyword
(,parenthesis
),parenthesis
{,parenthesis
},parenthesis
;,separator
:,separator
",",separator
.,separator
int,type
float,type
struct,statement
if,statement
else,statement
while,statement
for,statement
=,operator
+,operator
-,operator
*,operator
/,operator
%,operator
&,operator
|,operator
^,operator
&&,operator
||,operator
==,operator
!=,operator
<,operator
>,operator
<=,operator
>=,operator
<<,operator
>>,operator
std::cin,keyword
std::cout,keyword
std::endl,keyword
