Dimensiune,Tip,Fire,Medie(ns)
10x10,sequential,1,50540
10x10,parallel-lines,2,706220
10x10,parallel-lines,4,588020
10x10,parallel-lines,8,578960
10x10,parallel-lines,16,828840
1000x1000,sequential,1,8185970
1000x1000,parallel-lines,2,4214410
1000x1000,parallel-lines,4,2263340
1000x1000,parallel-lines,8,2067230
1000x1000,parallel-lines,16,2266130
10000x10000,sequential,1,463963330
10000x10000,parallel-lines,2,207207910
10000x10000,parallel-lines,4,123130870
10000x10000,parallel-lines,8,83641730
10000x10000,parallel-lines,16,67211780
