1,0.0065 
1,0.0051 
1,1.0886 
1,FISIERLE SUNT EGALE! 
2,0.006 
2,0.005 
2,1.6891 
2,FISIERLE SUNT EGALE! 
3,0.0064 
3,0.0048 
3,1.1197 
3,FISIERLE SUNT EGALE! 
4,0.0065 
4,0.0047 
4,1.019 
4,FISIERLE SUNT EGALE! 
5,0.0067 
5,0.0048 
5,1.0627 
5,FISIERLE SUNT EGALE! 
6,0.0064 
6,0.0047 
6,1.0084 
6,FISIERLE SUNT EGALE! 
7,0.0068 
7,0.0046 
7,1.0743 
7,FISIERLE SUNT EGALE! 
8,0.0066 
8,0.0049 
8,1.0433 
8,FISIERLE SUNT EGALE! 
9,0.0066 
9,0.005 
9,2.0693 
9,FISIERLE SUNT EGALE! 
10,0.0065 
10,0.0049 
10,1.0848 
10,FISIERLE SUNT EGALE! 
1,0.0067 
1,0.0046 
1,1.287 
1,FISIERLE SUNT EGALE! 
2,0.0071 
2,0.0046 
2,2.1633 
2,FISIERLE SUNT EGALE! 
3,0.007 
3,0.0049 
3,1.9625 
3,FISIERLE SUNT EGALE! 
4,0.0063 
4,0.0047 
4,2.0945 
4,FISIERLE SUNT EGALE! 
5,0.0065 
5,0.0047 
5,2.1216 
5,FISIERLE SUNT EGALE! 
6,0.0068 
6,0.0045 
6,1.8268 
6,FISIERLE SUNT EGALE! 
7,0.0069 
7,0.0053 
7,2.4622 
7,FISIERLE SUNT EGALE! 
8,0.0069 
8,0.0049 
8,1.3258 
8,FISIERLE SUNT EGALE! 
9,0.007 
9,0.0049 
9,1.5317 
9,FISIERLE SUNT EGALE! 
10,0.0065 
10,0.0044 
10,2.225 
10,FISIERLE SUNT EGALE! 
1,0.0136 
1,0.0075 
1,3.1057 
1,FISIERLE SUNT EGALE! 
2,0.0082 
2,0.0079 
2,1.9962 
2,FISIERLE SUNT EGALE! 
3,0.0081 
3,0.0095 
3,1.3871 
3,FISIERLE SUNT EGALE! 
4,0.0079 
4,0.0071 
4,3.7323 
4,FISIERLE SUNT EGALE! 
5,0.0087 
5,0.0058 
5,1.8644 
5,FISIERLE SUNT EGALE! 
6,0.0089 
6,0.0075 
6,2.322 
6,FISIERLE SUNT EGALE! 
7,0.0132 
7,0.0087 
7,2.4737 
7,FISIERLE SUNT EGALE! 
8,0.0087 
8,0.0089 
8,3.3228 
8,FISIERLE SUNT EGALE! 
9,0.0087 
9,0.0067 
9,2.2737 
9,FISIERLE SUNT EGALE! 
10,0.0096 
10,0.0068 
10,1.7009 
10,FISIERLE SUNT EGALE! 
